Phrase,Time,INF,IF,F,C
my watch fell in the water,6.3,0,1,1,20
prevailing wind from the east,7.894737,1,1,0,23
never too rich and never too thin,8.756757,0,1,1,26
breathing is difficult,6.153846,1,0,0,19
I can see the rings on Saturn,6.571429,0,1,1,22
physics and chemistry are hard,8.914286,1,0,0,25
my bank account is overdrawn,6.12766,0,0,1,24
elections bring out the best,7.2,1,0,1,23
we are having spaghetti,4.8,0,0,1,20
time to go shopping,3.692308,0,0,0,16
a problem with the engine,6.461538,0,0,1,21
elephants are afraid of mice,5.647059,0,1,0,23
my favorite place to visit,6.947368,1,0,0,21
three two one zero blast off,6.9,1,1,1,21
my favorite subject is psychology,9.942857,0,1,0,28
circumstances are unacceptable,7.0,0,1,0,27
watch out for low flying objects,7.534884,1,1,1,25
if at first you do not succeed,5.76,1,0,0,23
please provide your date of birth,9.081081,1,1,1,26
we run the risk of failure,6.810811,1,0,1,20
prayer in schools offends some,8.914286,1,1,1,24
he is just like everyone else,6.4,1,1,1,22
great disturbance in the force,5.672727,1,0,0,25
love means many things,5.560976,0,0,0,19
you must be getting old,5.066667,0,0,0,19
the world is a stage,3.490909,0,0,0,16
can I skate with sister today,7.2,1,0,1,23
neither a borrower nor a lender be,6.72,0,1,1,27
one heck of a question,4.595745,0,0,0,18
question that must be answered,5.672727,1,0,0,25
beware the ides of March,6.666667,1,1,0,18
double double toil and trouble,8.210526,0,0,0,26
the power of denial,4.0,0,0,0,16
I agree with you,3.9,0,0,0,13
do not say anything,4.266667,0,0,0,16
play it again Sam,3.906977,0,0,0,14
the force is with you,4.636364,0,0,0,17
you are not a jedi yet,4.25,0,0,0,17
an offer you cannot refuse,6.0,1,1,1,20
are you talking to me,5.1,0,0,0,17
yes you are very smart,4.153846,0,0,0,18
all work and no play,3.555556,0,0,0,16
hair gel is very greasy,6.333333,0,0,0,19
Valium in the economy size,6.285714,0,0,1,22
the facts get in the way,6.514286,0,0,0,19
the dreamers of dreams,5.181818,0,0,0,19
did you have a good time,6.162162,0,0,0,19
space is a high priority,5.106383,0,1,0,19
you are a wonderful example,5.207547,0,0,0,23
do not squander your time,7.0,1,0,0,20
do not drink too much,4.25,0,0,0,17
take a coffee break,3.764706,0,0,0,16
popularity is desired by all,5.877551,1,1,1,22
the music is better than it sounds,6.588235,1,1,1,26
starlight and dewdrop,5.7,0,0,0,19
the living is easy,3.396226,0,0,0,15
fish are jumping,4.307692,0,0,0,14
the cotton is high,3.829787,0,0,0,15
drove my chevy to the levee,5.617021,1,0,0,21
but the levee was dry,4.636364,0,0,0,17
I took the rover from the shop,7.02439,1,1,1,22
movie about a nutty professor,7.692308,1,0,1,24
come and see our new car,4.56,0,0,0,19
coming up with killer sound bites,8.842105,1,0,1,27
I am going to a music lesson,6.285714,1,0,0,21
the opposing team is over there,5.886792,0,1,0,25
soon we will return from the city,8.307692,0,1,0,26
I am wearing a tie and a jacket,5.538462,1,1,0,22
the quick brown fox jumped,5.176471,1,1,0,20
all together in one big pile,6.571429,1,0,0,22
wear a crown with many jewels,8.0,1,1,1,22
there will be some fog tonight,5.660377,0,0,0,25
I am allergic to bees and peanuts,8.307692,0,1,0,26
he is still on our team,4.408163,0,0,0,18
the dow jones index has risen,7.578947,0,1,0,23
my preferred treat is chocolate,7.2,0,1,1,26
the king sends you to the tower,8.108108,0,0,0,25
we are subjects and must obey,5.236364,1,1,1,22
mom made her a turtleneck,6.146341,0,1,0,20
goldilocks and the three bears,8.0,0,1,1,25
we went grocery shopping,5.6,1,1,1,19
the assignment is due today,7.666667,0,1,1,22
what you see is what you get,6.6,0,1,0,21
for your information only,7.333333,1,1,1,20
a quarter of a century,4.32,0,0,0,18
the store will close at ten,7.135135,1,1,1,20
head shoulders knees and toes,5.454545,1,1,0,23
vanilla flavored ice cream,5.018182,1,1,0,21
frequently asked questions,5.236364,1,0,1,23
