Phrase,Time,INF,IF,F,C
my watch fell in the water,6.146341,2,2,0,17
prevailing wind from the east,6.818182,0,1,0,24
never too rich and never too thin,7.534884,0,0,0,27
breathing is difficult,5.714286,0,2,0,18
I can see the rings on Saturn,6.133333,2,0,1,21
physics and chemistry are hard,8.210526,0,0,1,26
my bank account is overdrawn,6.4,0,1,0,23
elections bring out the best,7.578947,0,0,0,24
we are having spaghetti,5.217391,0,1,1,19
time to go shopping,4.8,1,0,0,15
a problem with the engine,6.146341,2,2,1,17
elephants are afraid of mice,8.727273,0,2,1,22
my favorite place to visit,7.764706,1,1,1,20
three two one zero blast off,7.885714,0,0,1,23
my favorite subject is psychology,11.225806,2,2,1,25
circumstances are unacceptable,7.466667,1,1,1,26
watch out for low flying objects,8.526316,2,0,1,25
if at first you do not succeed,6.4,0,2,0,22
please provide your date of birth,8.195122,2,0,1,26
we run the risk of failure,8.129032,0,1,1,20
prayer in schools offends some,7.090909,2,2,1,22
he is just like everyone else,7.783784,2,2,1,20
great disturbance in the force,10.758621,1,2,1,23
love means many things,7.354839,1,0,0,18
you must be getting old,7.354839,0,0,0,19
the world is a stage,4.266667,0,1,0,15
can I skate with sister today,6.4,2,0,0,22
neither a borrower nor a lender be,11.586207,2,1,0,25
one heck of a question,6.0,0,1,0,17
question that must be answered,7.090909,1,0,1,25
beware the ides of March,7.5,0,0,0,20
double double toil and trouble,8.0,1,0,1,25
the power of denial,4.571429,1,1,0,14
I agree with you,5.032258,0,0,0,13
do not say anything,4.266667,0,1,0,15
play it again Sam,5.793103,0,1,0,13
the force is with you,6.0,1,0,0,16
you are not a jedi yet,6.375,1,0,0,16
an offer you cannot refuse,7.135135,2,1,1,19
are you talking to me,6.0,1,1,0,15
yes you are very smart,4.695652,0,1,0,17
all work and no play,4.682927,0,0,0,16
hair gel is very greasy,5.428571,1,1,0,17
Valium in the economy size,5.866667,1,0,1,21
the facts get in the way,6.514286,0,1,0,18
the dreamers of dreams,7.862069,1,1,0,17
did you have a good time,5.181818,0,1,0,18
space is a high priority,5.581395,0,1,0,19
you are a wonderful example,9.2,0,1,0,22
do not squander your time,5.727273,0,2,0,19
do not drink too much,5.828571,0,1,0,16
take a coffee break,6.4,1,1,0,14
popularity is desired by all,9.931034,0,1,1,23
the music is better than it sounds,8.0,2,0,1,26
starlight and dewdrop,5.066667,1,1,0,17
the living is easy,4.5,1,0,0,14
fish are jumping,3.818182,1,1,0,12
the cotton is high,4.285714,0,0,0,15
drove my chevy to the levee,6.439024,2,1,1,19
but the levee was dry,4.636364,0,1,0,16
I took the rover from the shop,6.545455,2,1,1,21
movie about a nutty professor,8.823529,1,0,1,24
come and see our new car,4.956522,0,0,0,19
coming up with killer sound bites,8.615385,1,2,0,25
I am going to a music lesson,5.866667,1,2,0,19
the opposing team is over there,9.176471,0,0,0,26
soon we will return from the city,7.902439,2,0,0,25
I am wearing a tie and a jacket,7.783784,0,0,1,24
the quick brown fox jumped,8.516129,0,0,0,22
all together in one big pile,7.666667,2,0,1,21
wear a crown with many jewels,9.6,0,0,0,24
there will be some fog tonight,8.333333,2,2,1,21
I am allergic to bees and peanuts,9.257143,2,2,1,23
he is still on our team,6.352941,0,1,0,17
the dow jones index has risen,7.578947,2,0,0,22
my preferred treat is chocolate,8.756757,2,0,0,25
the king sends you to the tower,9.375,2,1,1,22
we are subjects and must obey,6.545455,2,1,1,21
mom made her a turtleneck,8.4,0,2,1,19
goldilocks and the three bears,7.8,0,2,1,24
we went grocery shopping,8.4,0,2,0,19
the assignment is due today,6.571429,0,2,1,21
what you see is what you get,6.439024,1,2,0,19
for your information only,8.0,1,1,1,20
a quarter of a century,6.545455,1,0,0,17
the store will close at ten,8.0,1,1,1,20
head shoulders knees and toes,7.142857,1,0,0,24
vanilla flavored ice cream,6.133333,0,1,0,22
frequently asked questions,9.0,0,1,1,23
round robin scheduling,8.275862,0,2,1,18
information super highway,7.076923,0,1,0,22
my favorite web browser,6.857143,1,1,1,18
the laser printer is jammed,7.885714,1,1,1,21
all good boys deserve fudge,6.571429,2,0,1,21
the second largest country,7.263158,2,0,0,21
call for more details,5.023256,1,0,0,17
just in time for the party,6.810811,0,2,0,19
have a good weekend,5.052632,0,1,0,15
video camera with a zoom lens,7.02439,0,1,0,23
what a monkey sees a monkey will do,8.4,1,1,0,26
that is very unfortunate,6.810811,0,2,1,19
the back yard of our house,7.0,0,0,0,21
this is a very good idea,5.560976,0,1,0,18
reading week is just about here,8.210526,2,1,1,23
our fax number has changed,8.0,2,1,1,19
thank you for your help,6.333333,1,1,0,17
no exchange without a bill,6.285714,0,2,0,20
the early bird gets the worm,9.517241,1,0,0,22
buckle up for safety,4.97561,1,1,0,15
this is too much to handle,7.0,2,1,1,18
protect your environment,7.333333,0,2,0,20
world population is growing,6.857143,1,1,0,22
the library is closed today,9.2,2,0,1,21
Mary had a little lamb,5.142857,1,1,0,16
teaching services will help,7.783784,0,2,0,22
we accept personal checks,6.285714,2,1,1,19
this is a non profit organization,7.813953,1,1,1,26
user friendly interface,6.631579,2,1,1,18
healthy food is good for you,8.625,1,2,1,20
hands on experience with a job,7.5,1,1,0,23
this watch is too expensive,6.0,1,2,0,20
the postal service is very slow,10.064516,2,2,1,22
communicate through email,7.666667,2,1,1,20
the capital of our nation,8.689655,0,0,0,21
travel at the speed of light,9.2,2,2,1,19
I do not fully agree with you,7.263158,2,1,0,20
gas bills are sent monthly,6.439024,1,1,0,20
earth quakes are predictable,6.976744,0,0,0,25
life is but a dream,3.913043,1,0,0,14
take it to the recycling depot,6.521739,1,1,1,23
sent this by registered mail,9.931034,1,2,0,21
fall is my favorite season,8.0,0,1,1,21
a fox is a very smart animal,6.769231,1,2,0,19
the kids are very excited,5.6,2,1,1,18
parking lot is full of trucks,8.228571,0,0,1,24
my bike has a flat tire,6.75,1,0,0,17
do not walk too quickly,6.162162,1,0,0,18
a duck quacks to ask for food,7.263158,0,2,1,21
limited warranty of two years,9.677419,2,1,0,22
the four seasons will come,8.516129,0,0,0,22
the sun rises in the east,8.275862,1,2,1,17
it is very windy today,6.171429,0,1,0,17
do not worry about this,6.333333,1,0,0,18
dashing through the snow,6.631579,2,2,0,17
want to join us for lunch,7.741935,2,2,1,16
stay away from strangers,7.411765,0,1,0,20
accompanied by an adult,8.275862,2,2,0,16
see you later alligator,5.217391,1,0,1,19
make my day you sucker,5.684211,0,1,0,17
I can play much better now,5.727273,2,0,1,19
she wears too much makeup,6.461538,0,0,0,21
my bare face in the wind,5.428571,1,0,0,18
batman wears a cape,4.682927,0,0,0,16
I hate baking pies,4.285714,1,0,0,14
lydia wants to go home,6.171429,1,1,0,16
win first prize in the contest,6.976744,2,0,1,23
freud wrote of the ego,7.2,1,1,0,16
I do not care if you do that,5.478261,2,0,1,19
always cover all the bases,7.542857,0,2,1,20
nobody cares anymore,5.538462,1,0,0,17
can we play cards tonight,6.631579,2,2,0,17
get rid of that immediately,8.625,2,1,1,20
I watched blazing saddles,6.6,2,2,1,18
the sum of the parts,4.8,0,0,0,16
they love to yap about nothing,6.666667,2,0,0,23
peek out the window,4.465116,1,1,0,14
be home before midnight,6.0,0,2,0,18
he played a pimp in that movie,6.26087,1,0,0,23
I skimmed through your proposal,7.2,0,1,1,26
he was wearing a sweatshirt,6.731707,0,0,1,23
no more war no more bloodshed,8.727273,2,1,0,21
toss the ball around,5.230769,0,0,0,17
I will meet you at noon,5.268293,1,1,0,16
I want to hold your hand,5.302326,1,1,0,17
the children are playing,6.146341,2,2,0,17
superman never wore a mask,9.103448,1,0,1,21
I listen to the tape everyday,6.697674,1,1,0,22
he is shouting loudly,6.352941,1,0,0,17
correct your diction immediately,8.7,2,2,0,25
seasoned golfers love the game,10.064516,2,0,1,24
he cooled off after she left,6.133333,0,0,0,23
my dog sheds his hair,6.181818,1,1,0,15
join us on the patio,4.8,0,1,0,15
these cookies are so amazing,8.727273,2,2,1,20
I can still feel your presence,10.0,2,2,1,21
the dog will bite you,6.580645,1,0,0,16
a most ridiculous thing,6.666667,0,2,1,18
where did you get that tie,5.478261,0,2,0,19
what a lovely red jacket,6.0,2,1,1,17
do you like to shop on Sunday,6.571429,2,0,0,21
I spilled coffee on the carpet,8.108108,1,2,0,22
the largest of the five oceans,8.823529,2,2,0,21
shall we play a round of cards,8.727273,0,1,0,23
olympic athletes use drugs,8.363636,1,0,1,22
my mother makes good cookies,8.470588,0,0,0,24
do a good deed to someone,5.581395,2,0,0,18
quick there is someone knocking,9.529412,2,1,1,24
flashing red light means stop,7.894737,0,0,0,25
sprawling subdivisions are bad,10.125,1,0,0,26
where did I leave my glasses,6.133333,2,0,1,21
on the way to the cottage,6.486486,0,0,0,20
a lot of chlorine in the water,6.545455,1,2,0,21
do not drink the water,4.8,0,0,0,18
my car always breaks in the winter,10.5,2,2,1,24
santa claus got stuck,6.545455,0,1,0,17
