Phrase,Time,INF,IF,F,C
my watch fell in the water,12.6,2,2,0,17
prevailing wind from the east,13.043478,0,1,0,24
never too rich and never too thin,17.052632,1,1,1,25
breathing is difficult,10.909091,0,1,1,19
I can see the rings on Saturn,9.857143,0,1,0,22
physics and chemistry are hard,14.857143,0,1,0,25
my bank account is overdrawn,9.0,0,1,0,23
elections bring out the best,11.076923,0,1,0,23
we are having spaghetti,10.434783,1,0,1,19
time to go shopping,6.193548,0,1,0,15
a problem with the engine,9.333333,1,0,0,20
elephants are afraid of mice,16.0,2,0,1,22
my favorite place to visit,15.529412,0,2,0,20
three two one zero blast off,10.222222,2,1,1,20
my favorite subject is psychology,12.888889,1,0,1,28
circumstances are unacceptable,19.764706,2,2,0,24
watch out for low flying objects,18.0,2,1,1,24
if at first you do not succeed,11.076923,0,1,0,23
please provide your date of birth,14.0,1,0,1,27
we run the risk of failure,7.411765,2,0,1,19
prayer in schools offends some,9.454545,1,2,0,23
he is just like everyone else,15.157895,0,1,0,23
great disturbance in the force,13.0,1,2,0,23
love means many things,6.705882,0,1,0,18
you must be getting old,7.354839,1,1,0,17
the world is a stage,6.0,0,1,0,15
can I skate with sister today,13.714286,1,1,1,22
neither a borrower nor a lender be,17.684211,1,1,0,26
one heck of a question,7.448276,1,1,0,16
question that must be answered,15.6,0,0,0,26
beware the ides of March,8.275862,1,1,0,18
double double toil and trouble,13.565217,0,2,0,24
the power of denial,7.111111,0,1,0,15
I agree with you,6.5,0,1,0,12
do not say anything,10.105263,0,1,0,15
play it again Sam,4.941176,0,1,0,13
the force is with you,7.555556,0,1,0,16
you are not a jedi yet,11.333333,0,0,0,17
an offer you cannot refuse,8.516129,0,2,0,20
are you talking to me,6.0,1,1,0,15
yes you are very smart,8.307692,0,1,0,17
all work and no play,10.666667,1,0,0,15
hair gel is very greasy,9.913043,0,0,0,19
Valium in the economy size,9.103448,0,0,1,22
the facts get in the way,7.6,0,1,0,18
the dreamers of dreams,12.0,1,0,0,18
did you have a good time,8.142857,0,1,0,18
space is a high priority,8.0,2,2,1,16
you are a wonderful example,9.2,1,1,0,21
do not squander your time,9.692308,0,1,1,20
do not drink too much,6.181818,1,1,0,15
take a coffee break,8.727273,1,0,0,15
popularity is desired by all,15.157895,1,0,0,23
the music is better than it sounds,19.764706,2,2,1,24
starlight and dewdrop,12.666667,0,1,0,18
the living is easy,5.294118,0,1,0,14
fish are jumping,6.0,0,0,0,14
the cotton is high,10.588235,0,1,0,14
drove my chevy to the levee,11.478261,2,1,1,19
but the levee was dry,7.034483,0,1,0,16
I took the rover from the shop,9.6,0,2,1,22
movie about a nutty professor,12.5,2,2,0,21
come and see our new car,6.705882,0,0,0,19
coming up with killer sound bites,12.0,2,2,1,24
I am going to a music lesson,7.764706,0,1,1,21
the opposing team is over there,17.333333,1,2,0,23
soon we will return from the city,10.125,0,1,1,26
I am wearing a tie and a jacket,14.4,1,2,0,21
the quick brown fox jumped,11.0,2,1,1,19
all together in one big pile,9.517241,1,2,0,20
wear a crown with many jewels,11.076923,2,1,1,21
there will be some fog tonight,11.538462,2,2,0,21
I am allergic to bees and peanuts,10.125,0,1,1,26
he is still on our team,11.368421,1,1,0,16
the dow jones index has risen,16.941176,1,2,0,21
my preferred treat is chocolate,11.571429,2,1,1,24
the king sends you to the tower,13.043478,1,1,1,23
we are subjects and must obey,9.0,1,0,0,23
mom made her a turtleneck,9.692308,0,0,1,21
goldilocks and the three bears,11.142857,0,2,1,24
we went grocery shopping,9.333333,2,2,1,17
the assignment is due today,9.857143,1,0,1,22
what you see is what you get,14.666667,1,1,0,20
for your information only,8.516129,0,1,0,21
a quarter of a century,7.448276,1,0,0,17
the store will close at ten,8.8,1,2,1,19
head shoulders knees and toes,10.714286,2,1,1,22
vanilla flavored ice cream,16.235294,0,2,0,21
frequently asked questions,8.470588,1,2,0,21
round robin scheduling,8.571429,1,2,1,17
information super highway,9.517241,1,0,0,22
my favorite web browser,9.230769,1,0,1,19
the laser printer is jammed,10.615385,2,2,1,19
all good boys deserve fudge,13.142857,2,2,0,19
the second largest country,10.615385,2,0,1,21
call for more details,9.818182,0,1,0,17
just in time for the party,9.692308,0,1,0,20
have a good weekend,7.111111,1,1,0,14
video camera with a zoom lens,9.290323,1,2,0,21
what a monkey sees a monkey will do,16.8,0,1,1,27
that is very unfortunate,14.0,2,1,1,18
the back yard of our house,12.0,1,1,1,19
this is a very good idea,8.769231,1,0,0,18
reading week is just about here,16.421053,0,1,1,25
our fax number has changed,10.153846,2,0,0,20
thank you for your help,13.411765,1,1,0,17
no exchange without a bill,8.8,0,2,1,20
the early bird gets the worm,13.8,1,2,0,20
buckle up for safety,11.333333,0,1,0,16
this is too much to handle,9.333333,2,2,1,17
protect your environment,11.0,1,0,1,21
world population is growing,9.290323,0,0,1,24
the library is closed today,10.222222,0,2,1,21
Mary had a little lamb,6.545455,1,1,0,16
teaching services will help,16.941176,2,0,0,22
we accept personal checks,13.894737,0,1,1,21
this is a non profit organization,12.923077,2,0,0,26
user friendly interface,8.4,2,0,0,19
healthy food is good for you,11.04,2,1,1,20
hands on experience with a job,9.090909,1,2,0,22
this watch is too expensive,13.8,0,2,0,21
the postal service is very slow,15.6,2,0,0,24
communicate through email,16.235294,2,1,0,20
the capital of our nation,7.411765,2,1,1,18
travel at the speed of light,8.903226,2,1,1,20
I do not fully agree with you,12.545455,0,0,0,23
gas bills are sent monthly,8.25,0,2,1,20
earth quakes are predictable,10.344828,1,1,0,23
life is but a dream,9.473684,1,1,0,13
take it to the recycling depot,9.677419,1,1,1,23
sent this by registered mail,9.290323,2,1,1,21
fall is my favorite season,13.894737,1,1,0,20
a fox is a very smart animal,8.8,0,2,1,20
the kids are very excited,10.5,2,2,1,17
