Phrase,Time,INF,IF,F,C
my watch fell in the water,6.146341,0,0,0,21
prevailing wind from the east,7.5,0,1,1,24
never too rich and never too thin,9.818182,0,0,0,27
breathing is difficult,6.857143,0,0,0,20
I can see the rings on Saturn,7.076923,1,0,0,22
physics and chemistry are hard,9.75,0,1,0,25
my bank account is overdrawn,8.727273,0,1,0,23
elections bring out the best,9.0,0,1,1,23
we are having spaghetti,7.5,1,0,1,19
time to go shopping,4.571429,0,0,0,16
a problem with the engine,7.636364,0,1,1,20
elephants are afraid of mice,7.783784,0,0,0,24
my favorite place to visit,5.866667,0,0,0,22
three two one zero blast off,6.731707,1,1,0,21
my favorite subject is psychology,9.942857,0,1,0,28
circumstances are unacceptable,9.081081,1,1,1,26
watch out for low flying objects,7.2,0,1,1,26
if at first you do not succeed,8.727273,1,1,0,22
please provide your date of birth,8.4,1,0,0,27
we run the risk of failure,6.3,1,1,0,19
prayer in schools offends some,9.75,0,0,1,26
he is just like everyone else,7.02439,0,1,1,23
great disturbance in the force,8.914286,1,1,1,24
love means many things,5.066667,0,0,0,19
you must be getting old,5.846154,0,0,0,19
the world is a stage,4.8,0,0,0,16
can I skate with sister today,8.0,0,0,0,24
neither a borrower nor a lender be,7.813953,0,1,1,27
one heck of a question,6.0,0,0,0,18
question that must be answered,9.176471,0,0,0,26
beware the ides of March,8.0,0,1,1,19
double double toil and trouble,8.0,0,1,1,25
the power of denial,5.189189,0,0,0,16
I agree with you,3.466667,0,0,0,13
do not say anything,4.682927,0,0,0,16
play it again Sam,4.8,0,0,0,14
the force is with you,4.97561,0,0,0,17
you are not a jedi yet,6.181818,0,0,0,17
an offer you cannot refuse,6.285714,0,1,0,21
are you talking to me,4.97561,0,0,0,17
yes you are very smart,5.142857,0,0,0,18
all work and no play,5.189189,0,0,0,16
hair gel is very greasy,6.162162,0,0,0,19
Valium in the economy size,7.135135,1,0,1,21
the facts get in the way,6.909091,0,0,0,19
the dreamers of dreams,5.7,0,0,0,19
did you have a good time,5.846154,0,0,0,19
space is a high priority,6.666667,0,0,0,20
you are a wonderful example,9.2,1,0,1,22
do not squander your time,5.860465,0,1,1,20
do not drink too much,6.8,0,0,0,17
take a coffee break,5.189189,0,0,0,16
popularity is desired by all,6.4,1,0,0,23
the music is better than it sounds,8.4,0,1,1,27
starlight and dewdrop,6.0,0,0,0,19
the living is easy,4.0,0,0,0,15
fish are jumping,5.6,0,0,0,14
the cotton is high,5.142857,0,0,0,15
drove my chevy to the levee,7.333333,1,0,1,21
but the levee was dry,6.181818,0,0,0,17
I took the rover from the shop,6.4,1,1,0,22
movie about a nutty professor,8.108108,1,1,0,23
come and see our new car,6.0,0,0,0,19
coming up with killer sound bites,8.0,0,1,1,27
I am going to a music lesson,6.947368,0,1,1,21
the opposing team is over there,9.176471,0,0,1,26
soon we will return from the city,9.529412,0,1,0,26
I am wearing a tie and a jacket,7.578947,0,1,1,23
the quick brown fox jumped,6.439024,1,1,1,20
all together in one big pile,9.2,1,0,1,22
wear a crown with many jewels,9.6,1,0,1,23
there will be some fog tonight,8.571429,0,0,1,25
I am allergic to bees and peanuts,8.307692,0,1,1,26
he is still on our team,5.142857,0,0,0,18
the dow jones index has risen,8.470588,1,0,0,23
my preferred treat is chocolate,8.756757,1,1,1,25
the king sends you to the tower,8.108108,0,1,1,24
we are subjects and must obey,6.697674,0,0,1,24
mom made her a turtleneck,7.411765,0,0,1,21
goldilocks and the three bears,7.8,1,1,1,24
we went grocery shopping,8.4,0,1,1,20
the assignment is due today,9.2,1,0,0,22
what you see is what you get,8.8,1,1,1,20
for your information only,6.0,1,1,0,20
a quarter of a century,6.545455,0,0,0,18
the store will close at ten,6.947368,0,0,1,22
head shoulders knees and toes,9.375,0,1,0,24
vanilla flavored ice cream,8.625,0,0,0,23
frequently asked questions,8.228571,0,0,1,24
round robin scheduling,7.5,1,0,1,19
information super highway,7.459459,0,1,1,22
my favorite web browser,6.486486,0,1,0,19
the laser printer is jammed,6.731707,1,0,1,22
all good boys deserve fudge,7.263158,1,0,1,22
the second largest country,8.903226,1,0,1,22
call for more details,7.2,0,0,0,18
just in time for the party,7.636364,1,0,1,20
have a good weekend,4.266667,0,0,0,16
video camera with a zoom lens,9.0,0,1,1,23
what a monkey sees a monkey will do,8.4,1,0,0,27
that is very unfortunate,8.129032,0,0,1,21
the back yard of our house,6.0,0,0,1,21
this is a very good idea,6.162162,0,0,0,19
reading week is just about here,10.4,1,1,0,24
our fax number has changed,6.947368,0,1,0,21
thank you for your help,7.354839,0,0,0,19
no exchange without a bill,6.947368,0,0,0,22
the early bird gets the worm,9.2,0,1,0,22
buckle up for safety,5.368421,0,0,0,17
this is too much to handle,6.0,1,0,1,20
protect your environment,7.135135,0,0,1,22
world population is growing,7.783784,1,1,0,22
the library is closed today,6.272727,0,0,0,23
Mary had a little lamb,6.967742,0,0,0,18
teaching services will help,8.228571,0,1,0,23
we accept personal checks,8.0,1,0,0,21
this is a non profit organization,9.333333,0,0,0,28
user friendly interface,6.631579,1,0,0,20
healthy food is good for you,7.459459,1,1,0,21
hands on experience with a job,9.677419,0,0,1,25
this watch is too expensive,6.571429,0,1,0,22
the postal service is very slow,8.210526,0,0,1,26
communicate through email,8.625,1,1,1,21
the capital of our nation,5.860465,0,1,1,20
travel at the speed of light,6.9,0,1,1,22
I do not fully agree with you,6.731707,0,0,0,23
gas bills are sent monthly,6.139535,1,1,1,20
earth quakes are predictable,8.823529,1,0,1,24
life is but a dream,5.454545,0,0,0,15
take it to the recycling depot,6.976744,1,0,0,24
sent this by registered mail,8.0,0,1,0,23
fall is my favorite season,6.285714,1,1,1,20
a fox is a very smart animal,6.6,0,1,0,21
the kids are very excited,7.411765,1,0,0,20
parking lot is full of trucks,6.545455,1,0,1,23
my bike has a flat tire,5.023256,0,0,0,18
do not walk too quickly,6.162162,0,0,0,19
a duck quacks to ask for food,7.076923,0,1,1,22
limited warranty of two years,8.571429,1,0,0,24
the four seasons will come,6.769231,1,0,1,21
the sun rises in the east,5.333333,0,0,0,20
it is very windy today,5.268293,0,0,0,18
do not worry about this,6.514286,0,0,0,19
dashing through the snow,7.636364,1,0,0,20
want to join us for lunch,5.581395,1,0,0,19
stay away from strangers,5.860465,1,0,1,20
accompanied by an adult,7.272727,1,0,0,19
see you later alligator,6.486486,0,1,1,19
make my day you sucker,5.538462,0,0,0,18
I can play much better now,7.875,1,1,0,19
she wears too much makeup,5.860465,0,1,0,20
my bare face in the wind,6.514286,0,0,0,19
batman wears a cape,5.052632,0,0,0,16
I hate baking pies,4.5,0,0,0,15
lydia wants to go home,5.684211,0,0,0,18
win first prize in the contest,7.5,1,1,0,23
freud wrote of the ego,4.8,0,0,0,18
I do not care if you do that,5.860465,0,0,0,21
always cover all the bases,8.0,0,1,1,21
nobody cares anymore,5.684211,0,0,0,18
can we play cards tonight,6.631579,1,0,0,20
get rid of that immediately,6.418605,1,1,0,21
